pqu_id,application_version,pqu_train,release_number,change_cutoff_date,train_start_date,train_end_date,status,application_build,platform_build,uep_version,station_schedule_available,first_seen_at,last_changed_at,source_commit,source_url,source_raw_url
10.0.46-PQU-8,10.0.46,PQU-8,8,2026-08-21,2026-08-31,2026-10-03,In-Progress,10.0.2428.236,7.0.7778.149,10.0.46.10,true,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,b9cc4ebd5957b88060059dc2a7e3b08364ab3dca,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/b9cc4ebd5957b88060059dc2a7e3b08364ab3dca/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.47-PQU-12,10.0.47,PQU-12,12,2026-09-09,2026-09-09,2026-10-03,In-Progress,10.0.2527.208,7.0.7858.166,10.0.47.13,true,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,b9cc4ebd5957b88060059dc2a7e3b08364ab3dca,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/b9cc4ebd5957b88060059dc2a7e3b08364ab3dca/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.47-PQU-13,10.0.47,PQU-13,13,2026-09-23,2026-09-23,2026-10-17,In-Progress,10.0.2527.215,7.0.7858.174,10.0.47.14,true,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,b9cc4ebd5957b88060059dc2a7e3b08364ab3dca,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/b9cc4ebd5957b88060059dc2a7e3b08364ab3dca/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.48-PQU-5,10.0.48,PQU-5,5,2026-09-02,2026-09-02,2026-09-26,In-Progress,10.0.2645.124,7.0.7996.111,10.0.48.6,true,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,b9cc4ebd5957b88060059dc2a7e3b08364ab3dca,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/b9cc4ebd5957b88060059dc2a7e3b08364ab3dca/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.48-PQU-6,10.0.48,PQU-6,6,2026-09-16,2026-09-16,2026-10-10,In-Progress,10.0.2645.136,7.0.7996.119,10.0.48.7,true,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,b9cc4ebd5957b88060059dc2a7e3b08364ab3dca,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/b9cc4ebd5957b88060059dc2a7e3b08364ab3dca/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
