pqu_id,application_version,pqu_train,release_number,status,application_build,platform_build,uep_version,change_cutoff_date,train_start_date,train_end_date
10.0.49-PQU-8,10.0.49,PQU-8,8,Not Started,,,,2027-01-13,2027-01-13,2027-02-06
10.0.49-PQU-9,10.0.49,PQU-9,9,Not Started,,,,2027-01-27,2027-01-27,2027-02-20
10.0.49-PQU-10,10.0.49,PQU-10,10,Not Started,,,,2027-02-10,2027-02-10,2027-03-06
10.0.49-PQU-11,10.0.49,PQU-11,11,Not Started,,,,2027-02-24,2027-02-24,2027-03-20
10.0.49-PQU-12,10.0.49,PQU-12,12,Not Started,,,,2027-03-10,2027-03-10,2027-04-03
10.0.49-PQU-13,10.0.49,PQU-13,13,Not Started,,,,2027-03-24,2027-03-24,2027-04-17
10.0.49-PQU-14,10.0.49,PQU-14,14,Not Started,,,,2027-04-07,2027-04-07,2027-05-01
10.0.49-PQU-15,10.0.49,PQU-15,15,Not Started,,,,2027-04-21,2027-04-21,2027-05-15
10.0.49-PQU-16,10.0.49,PQU-16,16,Not Started,,,,2027-05-05,2027-05-05,2027-05-29
10.0.49-PQU-17,10.0.49,PQU-17,17,Not Started,,,,2027-05-26,2027-05-26,2027-06-19
