pqu_id,application_version,pqu_train,release_number,change_cutoff_date,train_start_date,train_end_date,status,application_build,platform_build,uep_version,station_schedule_available,first_seen_at,last_changed_at,source_commit,source_url,source_raw_url
10.0.47-PQU-3,10.0.47,PQU-3,3,2026-05-06,2026-05-06,2026-05-30,Completed,10.0.2527.109,7.0.7858.96,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.47-PQU-4,10.0.47,PQU-4,4,2026-05-20,2026-05-20,2026-06-13,Completed,10.0.2527.116,7.0.7858.102,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.47-PQU-5,10.0.47,PQU-5,5,2026-06-03,2026-06-03,2026-06-27,Completed,10.0.2527.130,7.0.7858.111,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.47-PQU-6,10.0.47,PQU-6,6,2026-06-17,2026-06-17,2026-07-11,Completed,10.0.2527.142,7.0.7858.121,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.47-PQU-7,10.0.47,PQU-7,7,2026-07-01,2026-07-01,2026-07-25,Completed,10.0.2527.152,7.0.7858.132,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.47-PQU-8,10.0.47,PQU-8,8,2026-07-15,2026-07-15,2026-08-08,Completed,10.0.2527.160,7.0.7858.134,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.47-PQU-9,10.0.47,PQU-9,9,2026-07-29,2026-07-29,2026-08-22,Completed,10.0.2527.174,7.0.7858.145,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.47-PQU-10,10.0.47,PQU-10,10,2026-08-12,2026-08-12,2026-09-05,Completed,10.0.2527.187,7.0.7858.152,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.47-PQU-11,10.0.47,PQU-11,11,2026-08-26,2026-08-26,2026-09-19,Completed,10.0.2527.197,7.0.7858.163,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.47-PQU-12,10.0.47,PQU-12,12,2026-09-09,2026-09-09,2026-10-03,In-Progress,10.0.2527.208,7.0.7858.166,10.0.47.13,true,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/deb37ecf6bc37a4862d78515fa35d8a4dc38bcdd/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
