pqu_id,application_version,pqu_train,release_number,change_cutoff_date,train_start_date,train_end_date,status,application_build,platform_build,uep_version,station_schedule_available,first_seen_at,last_changed_at,source_commit,source_url,source_raw_url
10.0.48-PQU-14,10.0.48,PQU-14,14,2027-01-06,2027-01-06,2027-01-30,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.48-PQU-15,10.0.48,PQU-15,15,2027-01-20,2027-01-20,2027-02-13,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.48-PQU-16,10.0.48,PQU-16,16,2027-02-03,2027-02-03,2027-02-27,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.48-PQU-17,10.0.48,PQU-17,17,2027-02-24,2027-02-24,2027-03-20,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.49-PQU-1,10.0.49,PQU-1,1,2026-10-07,2026-10-07,2026-10-31,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.49-PQU-2,10.0.49,PQU-2,2,2026-10-21,2026-10-21,2026-11-14,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.49-PQU-3,10.0.49,PQU-3,3,2026-11-04,2026-11-04,2026-11-28,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.49-PQU-4,10.0.49,PQU-4,4,2026-11-18,2026-11-18,2026-12-12,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.49-PQU-5,10.0.49,PQU-5,5,2026-12-02,2026-12-02,2026-12-26,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
10.0.49-PQU-6,10.0.49,PQU-6,6,2026-12-16,2026-12-16,2027-01-09,Not Started,,,,false,2026-09-24T12:00:00Z,2026-09-24T12:00:00Z,d21e69eecf3c47e3a74d992d6e2032b6bd570bb4,https://learn.microsoft.com/en-us/dynamics365/fin-ops-core/dev-itpro/get-started/quality-updates-schedule,https://raw.githubusercontent.com/MicrosoftDocs/dynamics-365-unified-operations-public/d21e69eecf3c47e3a74d992d6e2032b6bd570bb4/articles/fin-ops-core/dev-itpro/get-started/quality-updates-schedule.md
